step,rg2,perim,cycles
5100000,9789357.235637,116037,7773
5150000,9814970.608802,116190,7742
5200000,9790008.494156,116207,7836
5250000,9817541.106120,116022,7896
5300000,9810499.066272,115884,7990
5350000,9826426.537921,115963,7963
5400000,9768836.401307,116133,7946
5450000,9780086.962845,116315,7901
5500000,9076349.346343,116432,7868
5550000,9067537.684688,116514,7760
5600000,9058977.401364,116493,7787
5650000,9052994.883138,116568,7777
5700000,9038985.474629,116568,7914
5750000,9034990.034489,116572,8067
5800000,8932319.281344,116734,7876
5850000,8902523.456227,116817,7750
5900000,8907016.592535,116956,7646
5950000,8901228.561803,116938,7837
6000000,8714376.476178,116813,7864
6050000,8723066.805016,116896,7844
6100000,8706265.602867,116936,7700
6150000,8665494.697407,117016,7823
6200000,8666408.122169,116986,7820
6250000,8656447.864353,116979,7793
6300000,8644477.833931,116990,7749
6350000,8638857.756454,116877,7734
6400000,8620387.752324,117009,7758
6450000,7532434.372784,117047,7649
6500000,7535478.609110,117105,7643
6550000,7521136.244603,117146,7647
6600000,7518222.793428,117061,7656
6650000,7509021.794732,117123,7664
6700000,7500193.712312,117330,7670
6750000,7489502.163370,117472,7597
6800000,7537690.519631,117523,7508
6850000,7552922.405538,117500,7530
6900000,7541846.600969,117568,7533
6950000,7558941.530763,117388,7633
7000000,7558211.430008,117249,7645
7050000,7618939.380406,117243,7560
7100000,7626228.529363,117356,7671
7150000,7627109.247706,117608,7535
7200000,7617986.997381,117786,7514
7250000,7621235.007921,117718,7535
7300000,7602582.969276,117665,7562
7350000,7628818.529609,117664,7568
7400000,7620190.347118,117802,7532
7450000,7629101.477758,117748,7539
7500000,7575547.808567,117907,7396
7550000,7581633.877635,117825,7427
7600000,7586437.069503,117693,7574
7650000,7687233.850670,117651,7629
7700000,7670924.821011,117726,7584
7750000,7122879.191563,117644,7630
7800000,7122432.602531,117777,7599
7850000,7125860.894116,117700,7632
7900000,7172112.087447,117698,7590
7950000,7177902.529153,117690,7601
8000000,7193392.325920,117637,7612
8050000,7196063.100519,117721,7580
8100000,7183502.725005,117695,7541
8150000,7177245.272820,117601,7642
8200000,7186348.669356,117800,7619
8250000,7167049.466105,117974,7477
8300000,7165491.874867,117735,7609
8350000,7166681.540808,117655,7613
8400000,7169010.842253,117612,7663
8450000,7176532.636206,117636,7672
8500000,7218324.898440,117758,7540
8550000,7209094.021198,117827,7479
8600000,7211073.093576,117679,7534
8650000,7207045.665252,117822,7548
8700000,7258919.736248,117800,7453
8750000,7274137.799673,117914,7569
8800000,7264806.932229,117951,7488
8850000,7260240.755923,118067,7443
8900000,7455917.288902,117971,7425
8950000,7465815.481304,117924,7506
9000000,7453496.753894,117910,7444
9050000,7296866.092398,117871,7478
9100000,6803093.975493,117853,7498
9150000,6799970.353916,117991,7461
9200000,6795785.807056,117873,7535
9250000,6821646.499981,117853,7578
9300000,6866852.979330,118057,7458
9350000,6859879.651728,118159,7466
9400000,6853753.155436,118092,7440
9450000,6852147.196933,118018,7484
9500000,6853474.817591,118056,7571
9550000,6854421.294080,118246,7496
9600000,6859456.783693,118266,7469
9650000,6872529.770367,118002,7575
9700000,6855599.661665,118130,7489
9750000,6835926.346864,118078,7522
9800000,6828964.648652,118178,7612
9850000,6834093.954399,117891,7783
9900000,6825059.520347,117954,7703
9950000,6831153.035003,118285,7472
10000000,6833271.440678,118128,7537
10050000,6834793.102415,118125,7518
10100000,6821393.399954,118332,7409
10150000,6622442.312444,118179,7434
10200000,6626612.019146,118304,7440
10250000,6638811.975938,118335,7448
10300000,6593070.588001,118162,7441
10350000,6591492.009204,118343,7401
10400000,6596766.995546,118394,7479
10450000,6585798.739963,118475,7367
10500000,6557541.465525,118355,7457
10550000,6567264.238404,118533,7471
10600000,6535840.958372,118747,7332
10650000,6527181.762483,118661,7415
10700000,6548196.089375,118631,7417
10750000,6571316.726295,118671,7414
10800000,6403376.015637,118566,7486
10850000,6387611.525370,118652,7478
10900000,6415801.986580,118463,7422
10950000,6406794.010557,118382,7453
11000000,6400049.291428,118530,7448
11050000,6080000.454367,118520,7504
11100000,6053534.059477,118411,7506
11150000,6042635.955686,118574,7465
11200000,6214136.823163,118404,7505
11250000,6383767.645110,118483,7495
11300000,6396770.247686,118231,7618
11350000,5848218.227309,118283,7629
11400000,5928913.743300,118584,7406
11450000,5923759.870101,118528,7441
11500000,5928814.073410,118574,7515
11550000,
